gene_id,value,argument,description,primary
tmc1,Low-Medium,hearing enhancement beyond normal,No study tests TMC1 overexpression above wild-type levels,
fst344,Medium-High,,,true
lin28a,High,young-mouse repair,Strong evidence in young mouse tissue repair,true
pvlea,Medium,,,true
pot1_turritopsis,Low-Medium,narrow biochem claim,Limited biochemical evidence,true
cahs_d,High,yeast/in vitro,Strong evidence in yeast and in vitro systems,true
tp53_elephant,High,phenotype,Strong phenotypic evidence in elephants,true
epas1_tibetan,High,population signal + direction,Clear population signal with consistent direction,true
scn4aa,Medium-High,mechanistic,,true
sting_bat,Low-Medium,human translation,,false
greenland_shark_repair,Low,,,true
tp53_elephant,Medium,heterologous causation,Less certain about cross-species causal mechanism,false
cpdp_potoroo,High,UV protection in mouse,Transgenic mice showed powerful skin cancer resistance,
mstn_ko,High,,,true
cahs_d,Medium,human cell protection,"Modest protection, osmotic-shock-specific, not true drying",false
tapetum,High,native function,,true
lin28a,Low,adult limb/organ regeneration,No evidence for adult limb or organ regeneration,false
vegf_therapy,Medium,,,true
kcnma1_skate,Medium,channel characterization,BK channel well-studied; skate variant expressed in human HEK293 cells,
tdr1,Medium,,,true
dsup,Medium,,,true
tert,High,mouse,Strong mouse lifespan data,true
masp1,Medium-High,recombinant silk production,Expressed in 7+ organisms including transgenic goats and silkworms,
sting_bat,High,mechanism,Well-characterized molecular mechanism,true
foxo3,Low,gain-of-function transfer,Uncertain whether gain-of-function variants can be transferred,false
has2_nmr,Medium-High,,,true
hsf1_pv,Medium-High,,,true
ppri_ppra,Medium,overall,One-lab mouse data; moderate effect; not independently replicated,true
fluc,Very High,luciferin-dependent,,true
melanin_pathway,High,passive ROS/shielding,,true
prestin_echo,Medium,biophysics,,true
sting_bat,Medium,aging phenotype,"Female-only, small cohort",false
foxo3,High,association,Strong population-level genetic association,true
acomys_regen,Medium,,,true
fgf21_stgfbr2,Medium-High,,,true
piezo2,Low,gain-of-function enhancement,No overexpression studies; GOF mutations cause distal arthrogryposis in humans,
chrna1_mongoose,High,venom resistance mechanism,13+ independent convergent evolution events validate the single-aa edit,
prestin_echo,Declining,ultrasonic-hearing link,Confidence in ultrasonic-hearing connection is declining,false
afp_fish,Low,lifespan direct,No direct lifespan effect expected,false
trpa1_viper,High,channel biophysics,,true
cbp_gecko,High,gene transfer won't produce setae,Morphogenetic barrier prevents setae formation via gene transfer,false
smedwi,Low,mammalian regeneration transfer,Unlikely to transfer regeneration to mammals,false
gfp,Very High,technical,,true
tp53_rtg9,Low,physiological elephant relevance,Never tested in elephant cells,false
tp53_rtg9,High,transcription-independent mechanism,Demonstrated in human cancer cells,true
sod2,Low,longevity,,true
clock_bmal1_dolphin,Medium-Low,,,true
tert,Low,safe human translation,Safety for human translation uncertain,false
tapetum,N/A,engineering never attempted,No engineering attempts to evaluate,false
klotho,Medium,therapeutic protein,,false
mgmt_p140k,Medium,efficacy magnitude,"Small n, historical controls",false
pif,Low,vertebrate translation,Nacre uses aragonite; vertebrate bone uses hydroxyapatite — different mineral system,
pif,Medium,nacre formation role,RNAi + CRISPR validated in pearl oyster; essential for nacre,
rbm3,Medium,independent replication,All key data from single laboratory (MRC Prion Unit),
melanin_pathway,Low,radiosynthesis hypothesis,Radiosynthesis claim poorly supported,false
scn4aa,Low,any enhancement translation,,false
pvpimt,Medium,,,true
resilin,Low,vertebrate tissue integration,No expression in any vertebrate tissue; cross-linking mechanism untested in vivo,
cry4a_robin,Low,in vivo function,,false
fluc,Low-Medium,autonomous mammals,,false
